Case ID,Complete Timestamp,Activity,label,event_nr,case_length,Work_Order_Qty,Part_Desc_,Rework,finished,Activity_Final Inspection Q.C.,Activity_Lapping - Machine 1,Activity_Laser Marking - Machine 7,Activity_Packing,Activity_Turning & Milling - Machine 4,Activity_Turning & Milling - Machine 5,Activity_Turning & Milling - Machine 6,Activity_Turning & Milling - Machine 8,Activity_Turning & Milling - Machine 9,Activity_Turning & Milling Q.C.,Activity_other,Resource_ID0420,Resource_ID0937,Resource_ID0997,Resource_ID0998,Resource_ID3767,Resource_ID3846,Resource_ID4132,Resource_ID4163,Resource_ID4167,Resource_ID4219,Resource_ID4287,Resource_ID4326,Resource_ID4355,Resource_ID4385,Resource_ID4429,Resource_ID4445,Resource_ID4491,Resource_ID4493,Resource_ID4528,Resource_ID4529,Resource_ID4618,Resource_ID4641,Resource_ID4718,Resource_ID4794,Resource_ID4820,Resource_ID4872,Resource_ID4882,Resource_ID4932,Resource_other,Report_Type_B,Report_Type_D,Report_Type_S,Resource.1_Machine 1 - Lapping,Resource.1_Machine 10 - Grinding,Resource.1_Machine 11 - Grinding,Resource.1_Machine 12 - Grinding,Resource.1_Machine 14 - Milling,Resource.1_Machine 15 - Turning,Resource.1_Machine 16 - Milling,Resource.1_Machine 2 - Round Grinding,Resource.1_Machine 27 - Grinding,Resource.1_Machine 3 - Round Grinding,Resource.1_Machine 4 - Turning & Milling,Resource.1_Machine 5 - Turning & Milling,Resource.1_Machine 6 - Turning & Milling,Resource.1_Machine 7- Laser Marking,Resource.1_Machine 8 - Turning & Milling,Resource.1_Machine 9 - Turning & Milling,Resource.1_Packing,Resource.1_Quality Check 1,Resource.1_Wire Cut - Machine 13,Resource.1_other,Qty_Completed_mean,Qty_Completed_max,Qty_Completed_min,Qty_Completed_sum,Qty_Completed_std,Qty_for_MRB_mean,Qty_for_MRB_max,Qty_for_MRB_min,Qty_for_MRB_sum,Qty_for_MRB_std,activity_duration_mean,activity_duration_max,activity_duration_min,activity_duration_sum,activity_duration_std,hour_mean,hour_max,hour_min,hour_sum,hour_std,weekday_mean,weekday_max,weekday_min,weekday_sum,weekday_std,month_mean,month_max,month_min,month_sum,month_std,timesincemidnight_mean,timesincemidnight_max,timesincemidnight_min,timesincemidnight_sum,timesincemidnight_std,timesincelastevent_mean,timesincelastevent_max,timesincelastevent_min,timesincelastevent_sum,timesincelastevent_std,timesincecasestart_mean,timesincecasestart_max,timesincecasestart_min,timesincecasestart_sum,timesincecasestart_std,event_nr_mean,event_nr_max,event_nr_min,event_nr_sum,event_nr_std,open_cases_mean,open_cases_max,open_cases_min,open_cases_sum,open_cases_std,predicted_value,proba_of_regular
Case192_7,2012-02-08 20:17:00,Turning & Milling - Machine 9,regular,7.0,23,200.0,Piston,Y,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,1.1428571428571428,7.0,0.0,8.0,2.6095064302514777,0.0,0.0,0.0,0.0,0.0,167.0,423.0,3.0,1169.0,165.63312873134205,12.571428571428571,20.0,8.0,88.0,4.540820148282425,1.8571428571428572,2.0,1.0,13.0,0.3779644730092272,1.7142857142857142,2.0,1.0,12.0,0.48795003647426655,778.5714285714286,1217.0,520.0,5450.0,269.79057133441927,5848.142857142857,39188.0,0.0,40937.0,14705.549048217268,28772.85714285714,40937.0,0.0,201410.0,19638.96152574071,4.0,7.0,1.0,28.0,2.160246899469287,33.42857142857143,35.0,31.0,234.0,1.7182493859684507,regular,0.957860526499134
Case73_3,2012-02-08 23:45:00,Turning & Milling - Machine 4,deviant,3.0,10,50.0,Fastener,missing,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.3333333333333,552.0,8.0,769.0,275.0715058549928,15.333333333333334,23.0,7.0,46.0,8.020806277010642,2.0,2.0,2.0,6.0,0.0,2.0,2.0,2.0,6.0,0.0,947.6666666666666,1425.0,424.0,2843.0,502.10589852473686,333.6666666666667,570.0,0.0,1001.0,297.20419467654443,523.6666666666666,1001.0,0.0,1571.0,502.10589852473686,2.0,3.0,1.0,6.0,1.0,34.666666666666664,35.0,34.0,104.0,0.5773502691896263,deviant,0.007749574431464795
Case6_10,2012-02-09 00:37:00,Turning & Milling - Machine 8,deviant,10.0,17,73.0,Bearing,missing,0,0,0,0,0,0,0,0,8,0,2,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,7.3,33.0,0.0,73.0,12.50821951980199,0.0,0.0,0.0,0.0,0.0,247.6,663.0,16.0,2476.0,210.77170377237812,9.3,18.0,0.0,93.0,6.412661087428699,1.5,3.0,0.0,15.0,0.9718253158075502,2.0,2.0,2.0,20.0,0.0,591.3,1132.0,37.0,5913.0,384.58666123514996,396.7,1987.0,0.0,3967.0,589.4040398760618,2361.3,3967.0,0.0,23613.0,1377.3840786069802,5.5,10.0,1.0,55.0,3.0276503540974917,33.9,35.0,33.0,339.0,0.8755950357709165,deviant,0.08833468066903846
Case273_12,2012-02-09 01:00:00,Packing,regular,12.0,15,12.0,Spur Gear,missing,0,0,1,1,1,0,0,0,0,3,1,5,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,9,3,1,0,1,3,0,0,0,0,1,0,0,0,0,1,0,3,1,1,0,0,7.0,12.0,0.0,84.0,5.308655025693248,0.0,0.0,0.0,0.0,0.0,187.33333333333334,903.0,8.0,2248.0,251.5813019982835,13.083333333333334,23.0,1.0,157.0,6.359793211808832,1.5833333333333333,3.0,0.0,19.0,1.0836246694508318,1.5833333333333333,2.0,1.0,19.0,0.5149286505444371,806.6666666666666,1426.0,60.0,9680.0,388.0621630927736,2573.75,19978.0,0.0,30885.0,5734.459729247702,17831.666666666668,30885.0,0.0,213980.0,14227.998628398058,6.5,12.0,1.0,78.0,3.605551275463989,34.666666666666664,36.0,33.0,416.0,1.073086739977323,regular,0.5869947041319635
Case6_11,2012-02-09 01:15:00,other,deviant,11.0,17,73.0,Bearing,missing,0,0,0,0,0,0,0,0,8,0,2,1,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,6.636363636363637,33.0,0.0,73.0,12.06874249681985,0.0,0.0,0.0,0.0,0.0,231.9090909090909,663.0,16.0,2551.0,206.6167730584594,8.545454545454545,18.0,0.0,94.0,6.578200914591107,1.6363636363636365,3.0,0.0,18.0,1.0269106361049412,2.0,2.0,2.0,22.0,0.0,544.3636363636364,1132.0,37.0,5988.0,396.67298186976956,364.09090909090907,1987.0,0.0,4005.0,569.5211066405625,2510.7272727272725,4005.0,0.0,27618.0,1397.5270366550403,6.0,11.0,1.0,66.0,3.3166247903554,34.0,35.0,33.0,374.0,0.8944271909999197,deviant,0.18917708952036624
Case242_4,2012-02-09 02:46:00,Turning & Milling - Machine 6,deviant,4.0,5,40.0,Spur Gear,missing,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6.5,17.0,2.0,26.0,7.047458170621991,0.0,0.0,0.0,0.0,0.0,285.5,439.0,91.0,1142.0,159.52533759040705,12.75,20.0,2.0,51.0,7.632168761236874,2.25,3.0,2.0,9.0,0.5,2.0,2.0,2.0,8.0,0.0,796.75,1212.0,166.0,3187.0,446.3327420957,186.75,394.0,0.0,747.0,175.7448434520911,297.75,747.0,0.0,1191.0,334.80280265652897,2.5,4.0,1.0,10.0,1.2909944487358056,35.0,35.0,35.0,140.0,0.0,regular,0.5261272001135231
Case73_4,2012-02-09 02:46:00,Turning & Milling - Machine 4,deviant,4.0,10,50.0,Fastener,missing,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.5,552.0,8.0,942.0,228.427231301349,12.0,23.0,2.0,48.0,9.345230512584124,2.25,3.0,2.0,9.0,0.5,2.0,2.0,2.0,8.0,0.0,752.25,1425.0,166.0,3009.0,566.4134973674268,295.5,570.0,0.0,1182.0,254.38881002643703,688.25,1182.0,0.0,2753.0,525.7606394548759,2.5,4.0,1.0,10.0,1.2909944487358056,34.75,35.0,34.0,139.0,0.5000000000000006,deviant,0.0023133288863074137
Case63_2,2012-02-09 05:08:00,Turning & Milling - Machine 4,deviant,2.0,8,155.0,Cable Head,missing,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,139.0,58.0,197.0,57.27564927611035,5.5,6.0,5.0,11.0,0.7071067811865476,2.5,3.0,2.0,5.0,0.7071067811865476,2.0,2.0,2.0,4.0,0.0,350.0,392.0,308.0,700.0,59.39696961966999,678.0,1356.0,0.0,1356.0,958.8367952889585,678.0,1356.0,0.0,1356.0,958.8367952889585,1.5,2.0,1.0,3.0,0.7071067811865476,34.0,35.0,33.0,68.0,1.4142135623730951,deviant,0.016574456852513554
Case52,2012-02-09 06:36:00,Turning & Milling - Machine 8,regular,1.0,16,75.0,Ballnut,missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,87.0,87.0,0.0,6.0,6.0,6.0,6.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,396.0,396.0,396.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,36.0,36.0,36.0,36.0,0.0,regular,0.7093492674931472
Case6_12,2012-02-09 07:23:00,Turning & Milling Q.C.,deviant,12.0,17,73.0,Bearing,missing,0,0,0,0,0,0,0,0,8,0,3,1,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,12.166666666666666,73.0,0.0,146.0,22.347801735836175,0.0,0.0,0.0,0.0,0.0,213.33333333333334,663.0,9.0,2560.0,207.2444026366995,8.416666666666666,18.0,0.0,101.0,6.287915297447858,1.75,3.0,0.0,21.0,1.0552897060221726,2.0,2.0,2.0,24.0,0.0,535.9166666666666,1132.0,37.0,6431.0,379.34308250240207,364.4166666666667,1987.0,0.0,4373.0,543.018241503967,2665.9166666666665,4373.0,0.0,31991.0,1436.848600763195,6.5,12.0,1.0,78.0,3.605551275463989,34.166666666666664,36.0,33.0,410.0,1.0298573010888787,deviant,0.2456124346051363
