params,auc,accuracy,f1_score,precision,recall
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'catboost', 'model': 'Catboost', 'batch_size': 100}",0.8431783119153865,0.9089126171279146,0.9072930205781474,0.9058806725086047,0.9089126171279146
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'count', 'model': 'Catboost', 'batch_size': 100}",0.8479002996277699,0.9150141643059491,0.9101400927247806,0.9073338362996256,0.9150141643059491
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'target', 'model': 'Catboost', 'batch_size': 100}",0.8374025611628834,0.9113096535192853,0.909686830192168,0.908287434470062,0.9113096535192853
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'woe', 'model': 'Catboost', 'batch_size': 100}",0.8189911012234498,0.9269993462628023,0.9208558454795934,0.9194572915688973,0.9269993462628023
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'rank', 'model': 'Catboost', 'batch_size': 100}",0.8449089247585626,0.9226410982784921,0.917171123212129,0.9149865767775027,0.9226410982784921
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'catboost', 'model': 'Catboost', 'batch_size': 100}",0.8431783119153865,0.9089126171279146,0.9072930205781474,0.9058806725086047,0.9089126171279146
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'count', 'model': 'Catboost', 'batch_size': 100}",0.8479002996277699,0.9150141643059491,0.9101400927247806,0.9073338362996256,0.9150141643059491
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'target', 'model': 'Catboost', 'batch_size': 100}",0.8374025611628834,0.9113096535192853,0.909686830192168,0.908287434470062,0.9113096535192853
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'woe', 'model': 'Catboost', 'batch_size': 100}",0.8189911012234498,0.9269993462628023,0.9208558454795934,0.9194572915688973,0.9269993462628023
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'rank', 'model': 'Catboost', 'batch_size': 100}",0.8449089247585626,0.9226410982784921,0.917171123212129,0.9149865767775027,0.9226410982784921
